0.65625 {False: 'is the key.', True: 'is an adjective.'}
0.62500 {False: 'in English.', True: 'is an adjective.'}
0.59375 {False: 'is required.', True: 'is an adjective.'}
0.59375 {False: 'is not required.', True: 'is an adjective.'}
0.56250 {False: 'is underline.', True: 'is an adjective.'}
0.56250 {False: 'is used.', True: 'is an adjective.'}
0.56250 {False: 'does not work.', True: 'is an adjective.'}
0.56250 {False: 'does not exist.', True: 'is an adjective.'}
0.56250 {False: 'is not available.', True: 'is an adjective.'}
0.56250 {False: 'is correct.', True: 'is an adjective.'}
0.56250 {False: 'means something.', True: 'is an adjective.'}
0.53125 {False: 'is taken.', True: 'is an adjective.'}
0.53125 {False: 'is very important.', True: 'is an adjective.'}
0.53125 {False: 'is not working.', True: 'is an adjective.'}
0.53125 {False: 'means to.', True: 'is an adjective.'}
0.53125 {False: 'is in.', True: 'is an adjective.'}
0.53125 {False: 'is not necessary.', True: 'is an adjective.'}
0.53125 {False: 'is not defined.', True: 'is an adjective.'}
0.50000 {False: 'is optional.', True: 'is an adjective.'}
0.50000 {False: 'is wrong.', True: 'is an adjective.'}
